"ID"	"Trial"	"distCorr"	"Speed"	"distWalked"	"Blick"	"bedingung"	"geschw"	"TimeVsSpeed_K_VR"	" TimeVsSpeed_L_VR"	"TimeVsSpeed_K_D"	"TimeVsSpeed_L_D"
"1"	55	35	3.5	31.0589294434	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	56	7	3.5	6.9192032814	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	57	35	1.75	35.1406059265	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	58	7	3.5	6.33611917496	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	59	35	1.75	31.875371933	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	60	35	1.75	34.9073219299	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	61	35	1.75	20.505147934	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	62	35	1.75	37.4146347046	"vr"	"lang"	"langsam"	"17"	"6"	"18"	"5"
"1"	63	7	3.5	5.28670978546	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	64	7	3.5	6.06414985657	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	65	35	3.5	33.6247711182	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	66	7	1.75	7.09420442581	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	67	35	3.5	46.4136352539	"vr"	"lang"	"schnell"	"17"	"6"	"18"	"5"
"1"	68	7	1.75	9.134973526	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	69	7	1.75	4.93673324585	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	70	7	3.5	6.21952676773	"vr"	"kurz"	"schnell"	"17"	"6"	"18"	"5"
"1"	71	7	1.75	6.80271291733	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"1"	72	7	1.75	7.36629199982	"vr"	"kurz"	"langsam"	"17"	"6"	"18"	"5"
"10"	1	7	1.75	6.45284175873	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	2	35	3.5	17.2591381073	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	3	35	1.75	22.351606369	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	4	35	1.75	27.0745849609	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	5	35	3.5	24.8396492004	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	6	35	3.5	31.0200653076	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	7	7	3.5	3.80946302414	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	8	7	3.5	7.07477712631	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	9	35	3.5	29.4262046814	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	10	7	1.75	7.03588104248	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	11	7	3.5	8.98036766052	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	12	7	3.5	7.26928806305	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	13	7	1.75	7.05541276932	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	14	7	3.5	9.29057121277	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	15	7	1.75	10.8842420578	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	16	35	1.75	30.8647918701	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	17	7	1.75	6.93861484528	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	18	7	1.75	7.65786504745	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	19	35	1.75	41.3990287781	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	20	35	1.75	40.9908866882	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
